id,tag_name,created_at
1,sunset,2024-09-01 23:22:06.600347
2,photography,2024-09-01 23:22:06.600347
3,sunrise,2024-09-01 23:22:06.600347
4,landscape,2024-09-01 23:22:06.600347
5,food,2024-09-01 23:22:06.600347
6,foodie,2024-09-01 23:22:06.600347
7,delicious,2024-09-01 23:22:06.600347
8,beauty,2024-09-01 23:22:06.600347
9,stunning,2024-09-01 23:22:06.600347
10,dreamy,2024-09-01 23:22:06.600347
11,lol,2024-09-01 23:22:06.600347
12,happy,2024-09-01 23:22:06.600347
13,fun,2024-09-01 23:22:06.600347
14,style,2024-09-01 23:22:06.600347
15,hair,2024-09-01 23:22:06.600347
16,fashion,2024-09-01 23:22:06.600347
17,party,2024-09-01 23:22:06.600347
18,concert,2024-09-01 23:22:06.600347
19,drunk,2024-09-01 23:22:06.600347
20,beach,2024-09-01 23:22:06.600347
21,smile,2024-09-01 23:22:06.600347
